place_id,restaurant_name,latitude,longitude,search_area,Anchor_Destinations,Daytime_Population,Commercial_Vitality
ChIJ_8NuBpAZ6zkRuAzG1_mLELY,7 Miles Lounge and Bar,27.6990097,85.338376,Baneshwor,0.0941,0.4815,0.277
ChIJK0GDbAUZ6zkRvoTyCDhVE2Y,The Khukuri Cross Bar,27.6929317,85.3382247,Baneshwor,0.1274,0.6075,0.4234
ChIJvSeY-BAZ6zkRFhLOi1jaQwo,Crown Of Kitchen Restro & Bar,27.6806949,85.327915,Baneshwor,0.1617,0.3067,0.2836
ChIJ8Y6KDwAZ6zkRMaD3nLEftYw,"Sky Land Lounge & Bar , New Baneshwor, Bas plaza 6th floor",27.6910921,85.3361445,Baneshwor,0.1884,0.6952,0.5564
ChIJS9exxOEZ6zkRG3MTA0cAJEA,De Booze Lounge & Bar,27.6910577,85.3361455,Baneshwor,0.1884,0.6988,0.5585
ChIJLe2P_VEZ6zkRHmAXqL7S-yI,BAR Nepal,27.6915196,85.3420486,Baneshwor,0.0731,0.4982,0.4977
ChIJ1wqFCLwZ6zkRqz3ToWmujNM,Aero Lounge & Bar,27.7003804,85.3535084,Baneshwor,0.0264,0.1246,0.0266
ChIJ1ZQQopkZ6zkRKYDCfMzej5U,Krazy Grill and Bar,27.6815663,85.3372326,Baneshwor,0.1303,0.3673,0.3539
ChIJFz0ZOoAZ6zkROgkbw7Hi6XI,The View Lounge Bar,27.7062188,85.3399781,Baneshwor,0.0438,0.2232,0.1797
ChIJZ9MoZwAZ6zkR76a9yBi4QKk,yangma restro & cool bar,27.7011851,85.3395438,Baneshwor,0.0994,0.4965,0.3653
ChIJY5JHLKIZ6zkRtTX1XUH8tyI,Purple Berries Bistro & Bar,27.6926688,85.3364787,Baneshwor,0.1176,0.5841,0.4617
ChIJJ8czaioZ6zkRijqXnQ91FNM,Chibalaya the Cafe and Bar,27.7050625,85.3364375,Baneshwor,0.0941,0.3141,0.2273
ChIJdW1tY0oZ6zkR4egLC9G8tW8,Table talk restro and bar,27.6878781,85.33621869999999,Baneshwor,0.1724,0.6362,0.4944
ChIJBUUfcAAZ6zkR3lSVKKKy-WI,Amsterdam Restro & Bar,27.7143949,85.3101981,Baneshwor,0.5719,0.3998,0.5963
