place_id,restaurant_name,latitude,longitude,search_area,building_count_500m,Demand,Accessibility,Competition,Population
ChIJZ61001MZ6zkRWgRozGP-P1U,Offline Cafe,27.6810841,85.3415199,Baneshwor,3238,0.2345,0.5405,0.4911,0.5661
ChIJaeS5UQAZ6zkRw2nI0x_Uo_I,"Caffeophilia, Gyaneshwor",27.7097143,85.33273570000001,Baneshwor,1793,0.1205,0.3361,0.5201,0.3135
ChIJNanyFJYZ6zkR5ppk9lwCM5g,R n B Cafe,27.6896422,85.3355524,Baneshwor,2307,0.4307,0.6035,0.4108,0.4033
ChIJ49I7hkkZ6zkRTIqKfjLUhkw,Cafe Bon tempo,27.691605,85.3404395,Baneshwor,2788,0.3643,0.4146,0.4398,0.4874
ChIJZw_ydsoZ6zkRtv-xQ2p4o9E,New Park Lane Cafe & Stick Food,27.6899375,85.3345625,Baneshwor,2433,0.4266,0.5754,0.4099,0.4253
ChIJW5HHZ9AZ6zkR7wkycFFGihg,Chautari Cafe and Marsi Thakali,27.6861919,85.34616749999999,Baneshwor,2380,0.3634,0.4308,0.4598,0.4161
ChIJFxgXYgIZ6zkRBb2qR1iHwMA,The Third Space Cafe,27.728179800000003,85.3248121,Baneshwor,155,0.0124,0.2412,0.5125,0.0271
ChIJOQNaJ7gZ6zkR4rlyKQ_H06I,The Mari Cafe,27.7033013,85.3233925,Baneshwor,3134,0.376,0.495,0.4905,0.5479
ChIJKTz-fgAb6zkRbznc_j12GTM,7 Corner's,27.6895644,85.3652216,Baneshwor,516,0.0538,0.3444,0.4742,0.0902
ChIJ62WTAAAZ6zkRFJ91CkCu-bo,Kathmandu : The Kafe,27.7071433,85.33315669999999,Baneshwor,2753,0.2005,0.4149,0.507,0.4813
ChIJGebFEQAZ6zkRPskjC00KQqQ,Riverside cafe,27.6868742,85.3253409,Baneshwor,2083,0.2458,0.36,0.506,0.3642
ChIJ41bsJQAZ6zkRAd5BMFtLDvc,Kafemandu,27.7142514,85.2874633,Baneshwor,0,0.0,0.2099,0.4546,0.0
ChIJS0t1dIAZ6zkRy8TFUVDQ_MM,100s Cafe,27.7181981,85.33641159999999,Baneshwor,66,0.0006,0.235,0.5329,0.0115
ChIJZVS-1hgb6zkRRm4q19XoBzU,CHIABONGS,27.7197654,85.3614903,Baneshwor,2285,0.2302,0.4931,0.2931,0.3995
